Address,Distance_MRT,Distance_Mall,Within_1km_of_Pri,Town,Flat_Type_Area_Map
406 ANG MO KIO AVE 10,1148,1276,TRUE,ANG MO KIO,{1: 44}
108 ANG MO KIO AVE 4,268,1612,TRUE,ANG MO KIO,"{2: 70, 3: 87}"
602 ANG MO KIO AVE 5,795,2278,TRUE,ANG MO KIO,"{2: 71, 3: 91}"
465 ANG MO KIO AVE 10,1186,1333,TRUE,ANG MO KIO,"{2: 71, 3: 92}"
601 ANG MO KIO AVE 5,735,2323,TRUE,ANG MO KIO,"{2: 71, 3: 91}"
150 ANG MO KIO AVE 5,932,1204,TRUE,ANG MO KIO,"{2: 69, 3: 93, 5: 163}"
447 ANG MO KIO AVE 10,990,1138,TRUE,ANG MO KIO,{2: 68}
218 ANG MO KIO AVE 1,1161,1146,FALSE,ANG MO KIO,"{2: 68, 3: 82}"
571 ANG MO KIO AVE 3,675,839,TRUE,ANG MO KIO,"{2: 69, 3: 92}"
534 ANG MO KIO AVE 10,1095,1157,TRUE,ANG MO KIO,"{2: 71, 3: 93}"
233 ANG MO KIO AVE 3,522,1768,TRUE,ANG MO KIO,"{2: 68, 3: 92, 4: 134, 5: 164}"
235 ANG MO KIO AVE 3,624,1706,TRUE,ANG MO KIO,"{2: 70, 3: 92}"
219 ANG MO KIO AVE 1,926,1230,FALSE,ANG MO KIO,"{2: 69, 3: 92}"
536 ANG MO KIO AVE 10,1250,1313,TRUE,ANG MO KIO,"{2: 68, 3: 93, 4: 136}"
230 ANG MO KIO AVE 3,379,1555,TRUE,ANG MO KIO,"{2: 68, 3: 92}"
570 ANG MO KIO AVE 3,808,972,TRUE,ANG MO KIO,"{2: 67, 3: 92}"
624 ANG MO KIO AVE 4,807,1811,TRUE,ANG MO KIO,"{2: 71, 3: 93}"
441 ANG MO KIO AVE 10,951,1091,TRUE,ANG MO KIO,"{2: 68, 3: 92, 4: 134}"
625 ANG MO KIO AVE 9,733,1755,TRUE,ANG MO KIO,"{2: 70, 3: 92, 5: 163}"
119 ANG MO KIO AVE 3,706,554,TRUE,ANG MO KIO,"{2: 69, 3: 92}"
255 ANG MO KIO AVE 4,407,1961,TRUE,ANG MO KIO,"{2: 76, 3: 98}"
432 ANG MO KIO AVE 10,663,811,TRUE,ANG MO KIO,"{2: 68, 3: 92}"
211 ANG MO KIO AVE 3,813,1040,TRUE,ANG MO KIO,"{2: 70, 3: 81}"
584 ANG MO KIO AVE 3,594,759,TRUE,ANG MO KIO,"{2: 69, 3: 91, 5: 149}"
118 ANG MO KIO AVE 4,315,1752,TRUE,ANG MO KIO,"{2: 76, 3: 94}"
333 ANG MO KIO AVE 1,1215,1290,TRUE,ANG MO KIO,"{2: 70, 3: 93}"
256 ANG MO KIO AVE 4,211,1770,TRUE,ANG MO KIO,"{2: 76, 3: 98, 4: 146, 5: 161}"
330 ANG MO KIO AVE 1,1122,1183,TRUE,ANG MO KIO,"{2: 69, 3: 93}"
557 ANG MO KIO AVE 10,1336,1500,TRUE,ANG MO KIO,"{2: 71, 3: 92, 4: 136}"
302 ANG MO KIO AVE 3,897,731,TRUE,ANG MO KIO,"{2: 74, 3: 98}"
575 ANG MO KIO AVE 10,1002,1166,TRUE,ANG MO KIO,"{2: 70, 3: 91, 4: 134}"
509 ANG MO KIO AVE 8,724,685,TRUE,ANG MO KIO,"{2: 73, 3: 91, 5: 155}"
472 ANG MO KIO AVE 10,1535,1675,TRUE,ANG MO KIO,{3: 92}
475 ANG MO KIO AVE 10,1361,1501,TRUE,ANG MO KIO,"{2: 71, 3: 91}"
629 ANG MO KIO AVE 4,923,1745,TRUE,ANG MO KIO,"{2: 71, 3: 94}"
546 ANG MO KIO AVE 10,1259,1468,TRUE,ANG MO KIO,{3: 92}
131 ANG MO KIO AVE 3,936,875,TRUE,ANG MO KIO,{3: 98}
254 ANG MO KIO AVE 4,365,1919,TRUE,ANG MO KIO,{3: 97}
470 ANG MO KIO AVE 10,1206,1346,TRUE,ANG MO KIO,{3: 92}
463 ANG MO KIO AVE 10,1236,1384,TRUE,ANG MO KIO,"{2: 70, 3: 92, 5: 163}"
207 ANG MO KIO AVE 1,1213,1061,TRUE,ANG MO KIO,{3: 97}
304 ANG MO KIO AVE 1,929,770,TRUE,ANG MO KIO,{3: 97}
646 ANG MO KIO AVE 6,412,1204,TRUE,ANG MO KIO,"{2: 78, 3: 104}"
328 ANG MO KIO AVE 3,615,449,TRUE,ANG MO KIO,"{2: 77, 3: 98}"
588C ANG MO KIO ST 52,898,1062,TRUE,ANG MO KIO,"{3: 90, 4: 115}"
588D ANG MO KIO ST 52,873,1038,TRUE,ANG MO KIO,"{3: 91, 4: 114}"
101 ANG MO KIO AVE 3,493,1272,TRUE,ANG MO KIO,"{3: 90, 4: 117}"
430 ANG MO KIO AVE 3,484,632,TRUE,ANG MO KIO,{4: 119}
520 ANG MO KIO AVE 5,873,916,TRUE,ANG MO KIO,{4: 118}
716 ANG MO KIO AVE 6,618,311,TRUE,ANG MO KIO,{4: 119}
588A ANG MO KIO ST 52,814,902,TRUE,ANG MO KIO,"{3: 90, 4: 115}"
310A ANG MO KIO AVE 1,1224,1065,TRUE,ANG MO KIO,"{3: 94, 4: 120}"
613 ANG MO KIO AVE 4,1091,1801,TRUE,ANG MO KIO,{5: 150}
101 BEDOK NTH AVE 4,830,1937,TRUE,BEDOK,{1: 45}
548 BEDOK NTH AVE 1,1337,1035,TRUE,BEDOK,"{2: 69, 3: 93}"
75 BEDOK NTH RD,718,1692,FALSE,BEDOK,"{2: 61, 4: 138}"
550 BEDOK NTH AVE 1,1180,1181,TRUE,BEDOK,"{2: 70, 3: 93}"
1 BEDOK STH AVE 1,959,897,FALSE,BEDOK,"{2: 60, 4: 136}"
151 BEDOK RESERVOIR RD,448,2889,FALSE,BEDOK,"{2: 63, 3: 85}"
54 CHAI CHEE ST,1303,1323,FALSE,BEDOK,"{2: 74, 3: 94}"
