Address,Lat,Long
100 AM,1.274588218,103.8434707
111 Somerset,1.300206257,103.8373171
313@Somerset,1.301014364,103.8383607
AMK Hub,1.369389227,103.848478
Anchorpoint,1.28893478,103.8056078
Aperia Mall,1.310866728,103.8639296
Bedok Mall,1.324736328,103.9292563
Bugis Junction,1.299112875,103.8554112
Bugis+,1.298140834,103.8556353
Bukit Panjang Plaza,1.379920452,103.7643572
Capitol Singapore,1.292987754,103.8510468
Causeway Point,1.436007845,103.7856887
Century Square,1.352368296,103.9438123
Changi City Point,1.334036379,103.9629176
Chijmes,1.29479671,103.8525734
Chinatown Point,1.284998828,103.8446971
Cineleisure Orchard,1.301521019,103.8364297
City Square Mall,1.311421031,103.856624
Clarke Quay,1.290445673,103.845688
Clarke Quay Central,1.290445673,103.845688
Compass One,1.392053142,103.8950705
Cross Street Exchange,1.28373359,103.8469961
Downtown East,1.375951222,103.9555989
East Village,1.307261066,103.9347997
Eastpoint Mall,1.342705924,103.9530246
Far East Plaza,1.307176981,103.8337929
Forum The Shopping Mall,1.306097522,103.8286786
Funan Mall,1.291347597,103.8499898
Great World,1.293422727,103.8320221
Greenwich V,1.387395394,103.869136
HarbourFront Centre,1.263969912,103.8202433
Heartland Mall Kovan,1.359541773,103.8851674
Hillion Mall,1.378431008,103.7628428
HillV2,1.362674508,103.7641729
Hougang 1,1.375715307,103.8794723
Hougang Mall,1.372494938,103.8937756
i12 Katong,1.30690598,103.9020767
Icon Village,1.275082974,103.8445102
IMM,1.334875261,103.7468948
ION Orchard,1.303979741,103.8320323
JCube,1.298140834,103.8556353
Jem,1.333059993,103.7435037
Jubilee Square,1.371785586,103.8478376
Junction 10,1.38033681,103.7601679
Junction 8,1.350481253,103.8487605
Junction 9,1.43312284,103.841661
Jurong Point,1.339452004,103.706685
Kallang Wave Mall,1.303075152,103.8731497
Kap Mall,1.336973992,103.7793166
Katong V,1.303850304,103.9028504
Kinex,1.314618499,103.894738
Lot One,1.385069923,103.7452389
Mandarin Gallery,1.302004717,103.836584
Marina Square,1.291855333,103.8585781
Millenia Walk,1.292605445,103.8597249
NEX,1.350769353,103.8722961
Ngee Ann City,1.302424172,103.8346761
Northpoint City,1.429698486,103.8357765
One Raffles Place,1.284349546,103.8510725
Orchard Central,1.300838908,103.8394347
Orchard Gateway,1.300443253,103.8394428
Pacific Plaza,1.306547047,103.8321282
Palais Renaissance,1.306654845,103.829588
Paragon,1.304182126,103.835941
Parkway Parade,1.300917361,103.9053393
Paya Lebar Quarter,1.316173837,103.893139
Paya Lebar Square,1.31881487,103.8925808
Plaza Singapura,1.30074771,103.8450476
Raffles City,1.293893579,103.8531199
Republic Plaza,1.283483633,103.850574
Rivervale Mall,1.392197778,103.9044716
Robertson Walk,1.292042288,103.841169
Scotts Square,1.30579943,103.8330747
Shaw Centre,1.306113347,103.8319706
Shoppes at Marina Bay Sands,1.28423496,103.8589823
Singpost Centre,1.318996669,103.8948949
Square 2,1.32070511,103.8441607
Sun Plaza,1.448195354,103.8195021
Suntec City,1.294859902,103.8603337
Tampines 1,1.352227945,103.9524374
Tampines Mall,1.352527373,103.9446988
Tanglin Mall,1.304843442,103.8238528
Tanglin Place,1.305272193,103.8250789
The Cathay,1.299206091,103.8478268
The Centrepoint,1.301978369,103.839759
The Clementi Mall,1.314896196,103.7644231
The Poiz Centre,1.331497081,103.868214
The Seletar Mall,1.391470154,103.8761255
The Star Vista,1.30697044,103.7884203
The Woodleigh Mall,1.338730664,103.87167
Thomson Plaza,1.354362827,103.8303094
Tiong Bahru Plaza,1.286458895,103.8270153
UE Square,1.29208678,103.8427291
United Square,1.31719451,103.8436114
Valley Point,1.293036009,103.8270691
Velocity @ Novena Square,1.319295425,103.8441914
VivoCity,1.264293168,103.8223047
Waterway Point,1.406536117,103.9019882
West Coast Plaza,1.303624575,103.7658584
West Mall,1.350097148,103.7492139
Westgate,1.334157676,103.7427665
Wheelock Place,1.304676287,103.830642
White Sands,1.365636109,103.9608618
Wisma Atria,1.303704774,103.8332058
YewTee Point,1.396969923,103.7464432
