Address,Lat,Long
Admiralty Primary School,1.44263479,103.8000401
Ai Tong School,1.360583434,103.8330203
Alexandra Primary School,1.291334392,103.8244247
Anderson Primary School,1.384264294,103.8413921
Anglo-Chinese School (Junior),1.309350413,103.8409503
Anglo-Chinese School (Primary),1.318370545,103.8356097
Angsana Primary School,1.363605906,103.9389409
Bukit Panjang Primary School,1.373621793,103.7693749
Bukit View Primary School,1.345860548,103.7536664
Canberra Primary School,1.451250244,103.8158589
Catholic High School,1.354723075,103.8448747
CHIJ Our Lady of the Nativity,1.373302971,103.8975757
CHIJ Primary (Toa Payoh),1.332752647,103.8418473
CHIJ St. Nicholas Girls' School,1.373476879,103.8342533
Chongfu School,1.438395629,103.8393092
Chongzheng Primary School,1.350707392,103.9513995
Chua Chu Kang Primary School,1.377758901,103.7418329
Compassvale Primary School,1.394445296,103.8978122
Concord Primary School,1.380008062,103.7362254
Dazhong Primary School,1.359179745,103.7484721
De La Salle School,1.39470783,103.7432018
Elias Park Primary School,1.375056963,103.9452894
Eunos Primary School,1.44263479,103.8000401
Evergreen Primary School,1.444153328,103.7945778
Fairfield Methodist School (Primary),1.301004419,103.7854556
Fengshan Primary School,1.329805988,103.9317103
Fern Green Primary School,1.397269661,103.8803303
Fernvale Primary School,1.39030228,103.8744455
Frontier Primary School,1.336412987,103.6997017
Geylang Methodist School (Primary),1.317591268,103.8838457
Gongshang Primary School,1.357116068,103.9491448
Greenwood Primary School,1.439899583,103.8047256
Henry Park Primary School,1.316676462,103.7842962
Holy Innocents' Primary School,1.366938309,103.8941149
Hong Wen School,1.32176,103.8576285
Horizon Primary School,1.399550034,103.9134049
Hougang Primary School,1.377382452,103.8808053
Huamin Primary School,1.426972845,103.8442402
Jing Shan Primary School,1.37223291,103.8521322
Junyuan Primary School,1.347870748,103.9392217
Jurong West Primary School,1.339175198,103.6988037
Juying Primary School,1.44263479,103.8000401
Keming Primary School,1.3455285,103.7564494
Kheng Cheng School,1.337338194,103.8471485
Kong Hwa School,1.31099674,103.888352
Kranji Primary School,1.393560505,103.7473627
Kuo Chuan Presbyterian Primary School,1.349782238,103.8545293
Lakeside Primary School,1.338203977,103.7180895
Maha Bodhi School,1.328580239,103.9013069
Maris Stella High School,1.341394734,103.8778525
Marsiling Primary School,1.43383904,103.773643
Mee Toh School,1.394618454,103.9085895
Methodist Girls' School (Primary),1.349472763,103.8849713
Nan Chiau Primary School,1.392211499,103.8911809
Nan Hua Primary School,1.3192016,103.7610951
Nanyang Primary School,1.32111549,103.8064681
Naval Base Primary School,1.416306632,103.8387941
Ngee Ann Primary School,1.305525059,103.917463
North View Primary School,1.427523272,103.8481908
Northland Primary School,1.420969899,103.8409284
Oasis Primary School,1.404624132,103.9111206
Pasir Ris Primary School,1.372418702,103.9628072
Paya Lebar Methodist Girls' School (Primary),1.349472763,103.8849713
Pei Chun Public School,1.337373587,103.8555856
Pei Hwa Presbyterian Primary School,1.338056346,103.7761064
Poi Ching School,1.357651223,103.9352465
Princess Elizabeth Primary School,1.349203513,103.7410196
Punggol Green Primary School,1.401872206,103.8988013
Punggol Primary School,1.378200625,103.8946672
Qifa Primary School,1.313265833,103.7566291
Radin Mas Primary School,1.274958236,103.8241883
Raffles Girls' Primary School,1.32940426,103.8064429
Red Swastika School,1.334056596,103.9343175
River Valley Primary School,1.294183478,103.8360189
Riverside Primary School,1.447004265,103.801889
Rivervale Primary School,1.393409978,103.9045595
Rosyth School,1.372890675,103.8750015
Rulang Primary School,1.346738689,103.718458
Sembawang Primary School,1.445073716,103.8210424
Sengkang Green Primary School,1.392846067,103.8752177
Shuqun Primary School,1.347653114,103.7215237
Singapore Chinese Girls' Primary School,1.320807252,103.8277447
South View Primary School,1.381666644,103.7462758
Springdale Primary School,1.394670103,103.8899262
St. Andrew's Junior School,1.328580239,103.9013069
St. Anthony's Primary School,1.44263479,103.8000401
St. Hilda's Primary School,1.44263479,103.8000401
St. Joseph's Institution Junior,1.316266059,103.8625295
St. Margaret's School (Primary),1.318370545,103.8356097
Tampines North Primary School,1.360476415,103.9487258
Tampines Primary School,1.350486395,103.9435731
Tanjong Katong Primary School,1.30498489,103.9
Tao Nan School,1.294332105,103.8490262
Teck Ghee Primary School,1.365587821,103.8509571
Temasek Primary School,1.317706776,103.9455907
Waterway Primary School,1.398828006,103.9186216
Wellington Primary School,1.451920192,103.8223037
West Spring Primary School,1.389441459,103.7661957
Westwood Primary School,1.347184566,103.7005342
White Sands Primary School,1.365557147,103.9609189
Xinmin Primary School,1.371395489,103.8830808
Yangzheng Primary School,1.348645758,103.8685955
Yu Neng Primary School,1.333889303,103.9321449
Zhangde Primary School,1.284211533,103.8259519
Zhenghua Primary School,1.379548875,103.7693135
Valour Primary School,1.406835702,103.8990781
Northshore Primary School,1.418138033,103.9044169
