Year,Month,CPI
2025,2,100.677
2025,1,99.908
2024,12,100.661
2024,11,100.387
2024,10,100.119
2024,9,100.645
2024,8,100.414
2024,7,99.818
2024,6,100.104
2024,5,100.209
2024,4,99.426
2024,3,99.712
2024,2,99.755
2024,1,98.752
2023,12,99.177
2023,11,98.808
2023,10,98.974
2023,9,98.776
2023,8,98.278
2023,7,97.417
2023,6,97.645
2023,5,97.181
2023,4,96.869
2023,3,96.792
2023,2,96.308
2023,1,95.772
2022,12,95.591
2022,11,95.396
2022,10,94.475
2022,9,94.854
2022,8,94.445
2022,7,93.563
2022,6,93.423
2022,5,92.502
2022,4,91.594
2022,3,91.715
2022,2,90.59
2022,1,89.81
2021,12,89.781
2021,11,89.369
2021,10,88.5
2021,9,88.248
2021,8,87.882
2021,7,87.398
2021,6,87.569
2021,5,87.574
2021,4,86.875
2021,3,87.019
2021,2,86.827
2021,1,86.334
2020,12,86.358
2020,11,86.047
2020,10,85.709
2020,9,86.073
2020,8,85.787
2020,7,85.245
2020,6,85.52
2020,5,85.502
2020,4,85.098
2020,3,85.888
2020,2,86.183
2020,1,86.121
2019,12,86.325
2019,11,86.16
2019,10,85.883
2019,9,86.069
2019,8,86.123
2019,7,85.587
2019,6,85.974
2019,5,86.221
2019,4,85.73
2019,3,85.917
2019,2,85.901
2019,1,85.416
2018,12,85.67
2018,11,85.606
2018,10,85.465
2018,9,85.729
2018,8,85.749
2018,7,85.39
2018,6,85.514
2018,5,85.466
2018,4,84.937
2018,3,85.337
2018,2,85.51
2018,1,85.11
2017,12,85.274
2017,11,85.358
2017,10,84.865
2017,9,85.11
2017,8,85.129
2017,7,84.845
2017,6,85.043
2017,5,85.164
2017,4,84.877
2017,3,85.136
2017,2,85.1
2017,1,85.102
